[Thu Dec 11 02:53:57.091666 2025] [php7:error] [pid 111] [client 217.154.99.219:57833] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat
[Thu Dec 11 03:44:32.498228 2025] [php7:error] [pid 108] [client 198.98.61.40:55379] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat, referer: https://www.baidu.com/
[Thu Dec 11 04:00:53.379800 2025] [php7:error] [pid 112] [client 4.217.235.181:54499] script '/var/www/html/solucoesges.com.br/web/404.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 04:00:57.070483 2025] [php7:error] [pid 110] [client 4.217.235.181:54527] script '/var/www/html/solucoesges.com.br/web/aa.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 04:00:57.461737 2025] [php7:error] [pid 111] [client 4.217.235.181:54533] script '/var/www/html/solucoesges.com.br/web/abcd.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 04:00:57.773130 2025] [php7:error] [pid 112] [client 4.217.235.181:54535] script '/var/www/html/solucoesges.com.br/web/admin.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 04:00:58.398914 2025] [php7:error] [pid 110] [client 4.217.235.181:54555] script '/var/www/html/solucoesges.com.br/web/adminfuns.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 04:00:58.720838 2025] [php7:error] [pid 111] [client 4.217.235.181:54561] script '/var/www/html/solucoesges.com.br/web/ahax.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 04:00:59.035173 2025] [php7:error] [pid 112] [client 4.217.235.181:54565] script '/var/www/html/solucoesges.com.br/web/akcc.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 04:01:01.554914 2025] [php7:error] [pid 110] [client 4.217.235.181:54593] script '/var/www/html/solucoesges.com.br/web/alfa.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 04:01:02.552987 2025] [php7:error] [pid 110] [client 4.217.235.181:54607] script '/var/www/html/solucoesges.com.br/web/av.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 04:01:02.864860 2025] [php7:error] [pid 111] [client 4.217.235.181:54611] script '/var/www/html/solucoesges.com.br/web/bless.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 04:01:03.180326 2025] [php7:error] [pid 112] [client 4.217.235.181:54621] script '/var/www/html/solucoesges.com.br/web/bolt.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 04:01:03.492159 2025] [php7:error] [pid 110] [client 4.217.235.181:54641] script '/var/www/html/solucoesges.com.br/web/buy.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 04:01:03.812057 2025] [php7:error] [pid 111] [client 4.217.235.181:54649] script '/var/www/html/solucoesges.com.br/web/atomlib.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 04:01:04.126077 2025] [php7:error] [pid 112] [client 4.217.235.181:54651] script '/var/www/html/solucoesges.com.br/web/cgi-bin/file.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 04:01:04.440754 2025] [php7:error] [pid 110] [client 4.217.235.181:54655] script '/var/www/html/solucoesges.com.br/web/cgi-bin/index.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 04:01:04.770948 2025] [php7:error] [pid 111] [client 4.217.235.181:54659] script '/var/www/html/solucoesges.com.br/web/chosen.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 04:01:05.094683 2025] [php7:error] [pid 112] [client 4.217.235.181:54667] script '/var/www/html/solucoesges.com.br/web/classwithtostring.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 04:01:05.412697 2025] [php7:error] [pid 110] [client 4.217.235.181:54673] script '/var/www/html/solucoesges.com.br/web/edit.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 04:01:05.736095 2025] [php7:error] [pid 111] [client 4.217.235.181:54685] script '/var/www/html/solucoesges.com.br/web/elp.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 04:01:06.059475 2025] [php7:error] [pid 112] [client 4.217.235.181:54707] script '/var/www/html/solucoesges.com.br/web/simple.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 04:01:06.375767 2025] [php7:error] [pid 110] [client 4.217.235.181:54731] script '/var/www/html/solucoesges.com.br/web/file.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 04:01:06.688879 2025] [php7:error] [pid 111] [client 4.217.235.181:54751] script '/var/www/html/solucoesges.com.br/web/item.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 04:01:07.315367 2025] [php7:error] [pid 110] [client 4.217.235.181:54767] script '/var/www/html/solucoesges.com.br/web/gg.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 04:01:07.628388 2025] [php7:error] [pid 111] [client 4.217.235.181:54775] script '/var/www/html/solucoesges.com.br/web/goods.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 04:01:08.564167 2025] [php7:error] [pid 111] [client 4.217.235.181:54801] script '/var/www/html/solucoesges.com.br/web/info.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 04:01:08.880118 2025] [php7:error] [pid 112] [client 4.217.235.181:54809] script '/var/www/html/solucoesges.com.br/web/ioxi-o.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 04:01:11.316724 2025] [php7:error] [pid 110] [client 4.217.235.181:54833] script '/var/www/html/solucoesges.com.br/web/mah.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 04:01:11.946426 2025] [php7:error] [pid 112] [client 4.217.235.181:54839] script '/var/www/html/solucoesges.com.br/web/manager.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 04:01:12.577123 2025] [php7:error] [pid 111] [client 4.217.235.181:54849] script '/var/www/html/solucoesges.com.br/web/new.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 04:01:12.891974 2025] [php7:error] [pid 112] [client 4.217.235.181:54853] script '/var/www/html/solucoesges.com.br/web/dropdown.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 04:01:13.204012 2025] [php7:error] [pid 110] [client 4.217.235.181:54855] script '/var/www/html/solucoesges.com.br/web/cong.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 04:01:14.141313 2025] [php7:error] [pid 110] [client 4.217.235.181:54875] script '/var/www/html/solucoesges.com.br/web/radio.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 04:01:14.455385 2025] [php7:error] [pid 111] [client 4.217.235.181:54881] script '/var/www/html/solucoesges.com.br/web/themes.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 04:01:24.566805 2025] [php7:error] [pid 110] [client 4.217.235.181:54977] script '/var/www/html/solucoesges.com.br/web/wp-blog.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 04:11:08.275840 2025] [php7:error] [pid 111] [client 81.169.221.4:60977] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat
[Thu Dec 11 05:31:47.716358 2025] [php7:error] [pid 113] [client 147.182.243.3:29662] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat
[Thu Dec 11 05:32:40.605370 2025] [php7:error] [pid 113] [client 66.70.178.228:30104] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat
[Thu Dec 11 05:49:01.621418 2025] [php7:error] [pid 106] [client 4.197.176.116:14294] script '/var/www/html/solucoesges.com.br/web/404.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 05:49:01.937803 2025] [php7:error] [pid 107] [client 4.197.176.116:14298] script '/var/www/html/solucoesges.com.br/web/aa.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 05:49:05.034395 2025] [php7:error] [pid 105] [client 4.197.176.116:14328] script '/var/www/html/solucoesges.com.br/web/abcd.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 05:49:05.350400 2025] [php7:error] [pid 106] [client 4.197.176.116:14338] script '/var/www/html/solucoesges.com.br/web/admin.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 05:49:10.903374 2025] [php7:error] [pid 107] [client 4.197.176.116:14416] script '/var/www/html/solucoesges.com.br/web/adminfuns.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 05:49:11.279120 2025] [php7:error] [pid 105] [client 4.197.176.116:14420] script '/var/www/html/solucoesges.com.br/web/ahax.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 05:49:11.601493 2025] [php7:error] [pid 106] [client 4.197.176.116:14436] script '/var/www/html/solucoesges.com.br/web/akcc.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 05:49:11.919126 2025] [php7:error] [pid 107] [client 4.197.176.116:14444] script '/var/www/html/solucoesges.com.br/web/alfa.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 05:49:15.344127 2025] [php7:error] [pid 106] [client 4.197.176.116:14502] script '/var/www/html/solucoesges.com.br/web/av.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 05:49:15.663091 2025] [php7:error] [pid 107] [client 4.197.176.116:14508] script '/var/www/html/solucoesges.com.br/web/bless.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 05:49:15.976665 2025] [php7:error] [pid 105] [client 4.197.176.116:14512] script '/var/www/html/solucoesges.com.br/web/bolt.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 05:49:16.288708 2025] [php7:error] [pid 106] [client 4.197.176.116:14516] script '/var/www/html/solucoesges.com.br/web/buy.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 05:49:16.600224 2025] [php7:error] [pid 107] [client 4.197.176.116:14524] script '/var/www/html/solucoesges.com.br/web/atomlib.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 05:49:16.912574 2025] [php7:error] [pid 105] [client 4.197.176.116:14534] script '/var/www/html/solucoesges.com.br/web/cgi-bin/file.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 05:49:17.225579 2025] [php7:error] [pid 106] [client 4.197.176.116:14540] script '/var/www/html/solucoesges.com.br/web/cgi-bin/index.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 05:49:17.544915 2025] [php7:error] [pid 107] [client 4.197.176.116:14542] script '/var/www/html/solucoesges.com.br/web/chosen.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 05:49:17.860028 2025] [php7:error] [pid 105] [client 4.197.176.116:14544] script '/var/www/html/solucoesges.com.br/web/classwithtostring.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 05:49:18.190650 2025] [php7:error] [pid 106] [client 4.197.176.116:14548] script '/var/www/html/solucoesges.com.br/web/edit.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 05:49:18.507492 2025] [php7:error] [pid 107] [client 4.197.176.116:14550] script '/var/www/html/solucoesges.com.br/web/elp.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 05:49:19.823821 2025] [php7:error] [pid 105] [client 4.197.176.116:14600] script '/var/www/html/solucoesges.com.br/web/simple.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 05:49:20.137664 2025] [php7:error] [pid 106] [client 4.197.176.116:14606] script '/var/www/html/solucoesges.com.br/web/file.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 05:49:20.483810 2025] [php7:error] [pid 107] [client 4.197.176.116:14612] script '/var/www/html/solucoesges.com.br/web/item.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 05:49:23.839736 2025] [php7:error] [pid 105] [client 4.197.176.116:14642] script '/var/www/html/solucoesges.com.br/web/goods.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 05:49:28.166200 2025] [php7:error] [pid 105] [client 4.197.176.116:14684] script '/var/www/html/solucoesges.com.br/web/info.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 05:49:28.477929 2025] [php7:error] [pid 106] [client 4.197.176.116:14690] script '/var/www/html/solucoesges.com.br/web/ioxi-o.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 05:49:28.793389 2025] [php7:error] [pid 107] [client 4.197.176.116:14694] script '/var/www/html/solucoesges.com.br/web/k.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 05:49:29.108553 2025] [php7:error] [pid 105] [client 4.197.176.116:14704] script '/var/www/html/solucoesges.com.br/web/mah.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 05:49:29.734706 2025] [php7:error] [pid 107] [client 4.197.176.116:14708] script '/var/www/html/solucoesges.com.br/web/manager.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 05:49:30.358377 2025] [php7:error] [pid 106] [client 4.197.176.116:14714] script '/var/www/html/solucoesges.com.br/web/new.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 05:49:31.674291 2025] [php7:error] [pid 107] [client 4.197.176.116:14732] script '/var/www/html/solucoesges.com.br/web/dropdown.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 05:49:31.989738 2025] [php7:error] [pid 105] [client 4.197.176.116:14734] script '/var/www/html/solucoesges.com.br/web/cong.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 05:49:32.925961 2025] [php7:error] [pid 105] [client 4.197.176.116:14748] script '/var/www/html/solucoesges.com.br/web/radio.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 05:49:33.241907 2025] [php7:error] [pid 106] [client 4.197.176.116:14752] script '/var/www/html/solucoesges.com.br/web/themes.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 05:49:38.254193 2025] [php7:error] [pid 106] [client 4.197.176.116:14830] script '/var/www/html/solucoesges.com.br/web/wp-blog.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 06:58:29.594675 2025] [php7:error] [pid 110] [client 178.128.250.184:54379] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat
[Thu Dec 11 07:04:12.381100 2025] [php7:error] [pid 111] [client 20.214.245.245:59869] script '/var/www/html/solucoesges.com.br/web/wp-links-opml.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 07:04:13.017555 2025] [php7:error] [pid 112] [client 20.214.245.245:59883] script '/var/www/html/solucoesges.com.br/web/browse.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 07:04:29.926499 2025] [php7:error] [pid 111] [client 20.214.245.245:60119] script '/var/www/html/solucoesges.com.br/web/wp-good.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 07:04:48.202014 2025] [php7:error] [pid 112] [client 20.214.245.245:60395] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 07:04:48.513922 2025] [php7:error] [pid 111] [client 20.214.245.245:60401] script '/var/www/html/solucoesges.com.br/web/wp-signin.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 07:04:48.822988 2025] [php7:error] [pid 110] [client 20.214.245.245:60405] script '/var/www/html/solucoesges.com.br/web/wp-user.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 07:04:49.136770 2025] [php7:error] [pid 112] [client 20.214.245.245:60407] script '/var/www/html/solucoesges.com.br/web/wp.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 07:42:56.276993 2025] [php7:error] [pid 112] [client 45.145.131.176:47918] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat, referer: https://www.google.com
[Thu Dec 11 07:42:57.241723 2025] [php7:error] [pid 110] [client 45.145.131.176:47932] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat, referer: https://www.google.com
[Thu Dec 11 07:42:58.216651 2025] [php7:error] [pid 110] [client 45.145.131.176:47944] script '/var/www/html/solucoesges.com.br/web/wp-login.php' not found or unable to stat, referer: https://www.google.com
[Thu Dec 11 08:07:34.877877 2025] [php7:error] [pid 111] [client 4.193.208.244:60593] script '/var/www/html/solucoesges.com.br/web/1.php' not found or unable to stat, referer: https://www.google.co.uk/
[Thu Dec 11 08:07:35.241409 2025] [php7:error] [pid 112] [client 4.193.208.244:60599] script '/var/www/html/solucoesges.com.br/web/Sanskrit.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 08:07:35.690443 2025] [php7:error] [pid 113] [client 4.193.208.244:60603] script '/var/www/html/solucoesges.com.br/web/aa.php' not found or unable to stat, referer: https://duckduckgo.com/
[Thu Dec 11 08:07:41.071778 2025] [php7:error] [pid 113] [client 4.193.208.244:60721] script '/var/www/html/solucoesges.com.br/web/admin.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 08:07:41.450081 2025] [php7:error] [pid 111] [client 4.193.208.244:60733] script '/var/www/html/solucoesges.com.br/web/ahax.php' not found or unable to stat, referer: https://www.bing.com/
[Thu Dec 11 08:07:41.822780 2025] [php7:error] [pid 112] [client 4.193.208.244:60749] script '/var/www/html/solucoesges.com.br/web/assets/as.php' not found or unable to stat, referer: https://www.google.de/
[Thu Dec 11 08:07:47.291710 2025] [php7:error] [pid 111] [client 4.193.208.244:60851] script '/var/www/html/solucoesges.com.br/web/av.php' not found or unable to stat, referer: https://www.google.com/
[Thu Dec 11 08:07:47.643743 2025] [php7:error] [pid 112] [client 4.193.208.244:60853] script '/var/www/html/solucoesges.com.br/web/bless.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 08:07:47.986862 2025] [php7:error] [pid 113] [client 4.193.208.244:60855] script '/var/www/html/solucoesges.com.br/web/buy.php' not found or unable to stat, referer: https://www.google.fr/
[Thu Dec 11 08:07:48.424991 2025] [php7:error] [pid 111] [client 4.193.208.244:60861] script '/var/www/html/solucoesges.com.br/web/cc.php' not found or unable to stat, referer: https://www.yahoo.com/
[Thu Dec 11 08:07:48.815421 2025] [php7:error] [pid 112] [client 4.193.208.244:60867] script '/var/www/html/solucoesges.com.br/web/chosen.php' not found or unable to stat, referer: https://www.google.de/
